date,rainfall_mm
1,2.100
2,5.700
3,1.400
4,0.300
5,3.600
6,0.900
7,29.800
8,5.200
9,0.200
10,0.500
11,0.500
12,0.000
13,2.700
14,6.400
15,1.300
16,0.000
17,0.100
18,0.000
19,0.100
20,10.100
21,7.200
22,1.200
23,0.300
24,0.500
25,49.900
26,53.200
27,5.600
28,32.000
29,30.800
30,16.300
31,1.000
32,0.500
33,4.100
34,12.100
35,5.600
36,13.400
37,0.000
38,0.000
39,3.400
40,4.300
41,12.300
42,0.400
43,0.100
44,43.100
45,1.100
46,0.000
47,0.300
48,0.000
49,0.000
50,0.000
51,0.000
52,0.000
53,0.100
54,0.100
55,0.300
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.100
62,0.000
63,0.000
64,0.000
65,1.300
66,5.500
67,1.800
68,8.100
69,0.200
70,0.100
71,0.100
72,0.000
73,32.200
74,10.600
75,2.000
76,9.100
77,5.900
78,2.600
79,0.100
80,2.900
81,13.600
82,3.400
83,0.400
84,0.000
85,0.100
86,0.400
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
101,2.200
102,2.500
103,46.300
104,21.400
105,14.600
106,6.200
107,61.000
108,11.200
109,0.000
110,5.500
111,15.300
112,4.200
113,10.300
114,10.200
115,4.600
116,5.400
117,2.100
118,6.600
119,0.900
120,0.000
121,0.600
122,0.700
123,18.000
124,0.200
125,1.900
126,0.000
127,3.000
128,8.000
129,26.800
130,8.900
131,9.600
132,11.600
133,7.800
134,0.100
135,3.500
136,0.800
137,15.200
138,14.500
139,5.700
140,0.000
141,0.000
142,1.500
143,2.900
144,2.000
145,0.000
146,3.600
147,37.300
148,6.200
149,1.100
150,0.000
151,0.000
152,0.000
153,0.000
154,0.000
155,0.000
156,0.200
157,0.000
158,0.000
159,0.000
160,0.000
161,0.000
162,11.100
163,5.700
164,2.300
165,19.600
166,14.400
167,0.700
168,0.000
169,0.000
170,0.000
171,3.900
172,13.600
173,20.700
174,0.900
175,0.100
176,0.000
177,0.000
178,13.300
179,6.700
180,0.000
181,4.400
182,1.400
183,12.500
184,6.900
185,2.200
186,0.000
187,0.000
188,0.000
189,0.000
190,0.000
191,0.000
192,0.000
193,0.000
194,0.000
195,0.000
196,0.000
197,0.000
198,0.000
199,0.000
200,0.000
201,0.000
202,0.000
203,9.600
204,4.600
205,9.900
206,0.500
207,0.000
208,54.200
209,38.600
210,10.700
211,5.500
212,54.000
213,4.200
214,3.000
215,16.300
216,21.500
217,9.500
218,0.000
219,0.000
220,10.200
221,0.100
222,4.700
223,10.800
224,2.300
225,0.000
226,12.400
227,40.900
228,2.900
229,42.300
230,0.300
231,0.000
232,6.300
233,4.200
234,0.000
235,1.000
236,0.100
237,0.000
238,0.000
239,0.000
240,0.200
241,0.100
242,3.100
243,0.800
244,0.800
245,0.100
246,0.000
247,0.000
248,1.400
249,26.000
250,10.100
251,19.000
252,3.300
253,0.000
254,4.300
255,3.800
256,0.800
257,6.900
258,56.000
259,24.700
260,4.300
261,4.200
262,6.700
263,0.200
264,0.000
265,0.000
266,0.200
267,0.000
268,0.000
269,0.300
270,0.000
271,0.100
272,0.000
273,0.000
274,7.100
275,16.400
276,28.300
277,8.000
278,0.000
279,9.400
280,11.200
281,0.700
282,1.900
283,0.000
284,0.000
285,0.000
286,5.700
287,2.900
288,0.000
289,18.400
290,0.000
291,22.000
292,19.700
293,22.700
294,63.300
295,39.000
296,9.500
297,15.100
298,20.100
299,37.200
300,24.000
301,11.200
302,9.400
303,24.900
304,3.900
305,0.100
306,52.900
307,4.000
308,5.900
309,4.000
310,5.600
311,5.400
312,5.100
313,6.500
314,7.900
315,1.100
316,0.000
317,19.800
318,0.000
319,0.000
320,0.800
321,19.400
322,2.000
323,23.700
324,1.100
325,0.900
326,0.100
327,0.100
328,0.000
329,0.100
330,0.100
331,0.000
332,5.700
333,0.200
334,0.300
335,0.000
336,0.000
337,4.900
338,9.100
339,9.100
340,10.000
341,20.000
342,18.000
343,0.100
344,0.200
345,4.900
346,28.700
347,6.400
348,53.200
349,33.100
350,2.000
351,15.000
352,50.400
353,12.500
354,60.700
355,30.300
356,11.800
357,87.300
358,8.200
359,0.100
360,28.400
361,19.500
362,1.700
363,66.300
364,35.200
365,27.600
366,39.600
367,22.000
368,19.000
369,7.300
370,40.900
371,23.800
372,16.000
373,11.000
374,2.400
375,15.900
376,0.200
377,12.000
378,16.300
379,23.300
380,19.800
381,4.800
382,13.800
383,19.300
384,1.200
385,0.600
386,37.900
387,20.000
388,5.300
389,7.400
390,28.800
391,35.600
392,26.300
393,9.900
394,0.100
395,0.600
396,38.600
397,43.200
398,2.000
399,13.500
400,9.800
401,34.500
402,2.300
403,27.900
404,57.300
405,10.400
406,11.100
407,8.900
408,57.900
409,18.800
410,43.700
411,10.000
412,0.800
413,26.300
414,8.500
415,21.700
416,12.200
417,24.300
418,31.200
419,59.300
420,15.600
421,10.100
422,44.400
423,6.500
424,3.000
425,18.100
426,18.700
427,0.700
428,0.100
429,2.700
430,63.200
431,0.000
432,0.000
433,1.800
434,0.100
435,0.000
436,0.000
437,0.100
438,0.500
439,0.000
440,1.400
441,5.700
442,12.500
443,0.000
444,22.900
445,16.700
446,7.700
447,0.100
448,9.500
449,3.100
450,1.900
451,8.400
452,2.400
453,0.000
454,0.000
455,11.600
456,0.100
457,4.800
458,3.800
459,1.400
460,42.700
461,16.700
462,11.600
463,3.400
464,0.100
465,1.800
466,0.300
