date,maximum_temp,minimum_temp
1,7.0,4.7
2,10.8,7.1
3,10.8,9.3
4,9.8,8.4
5,10.1,9.1
6,10.7,7.3
7,9.7,8.8
8,10.4,3.3
9,7.3,-0.5
10,4.1,-0.1
11,4.8,0.9
12,5.4,-0.3
13,3.0,-0.8
14,4.8,0.5
15,2.9,-3.5
16,1.3,-2.4
17,2.7,-0.6
18,1.9,-0.4
19,2.5,0.2
20,2.1,0.6
21,1.7,-0.4
22,3.6,-3.8
23,2.3,-1.3
24,4.3,-2.4
25,3.1,0.7
26,7.6,3.8
27,6.7,4.8
28,8.8,5.3
29,10.5,7.2
30,7.3,5.5
31,8.2,5.7
32,7.1,3.8
33,5.9,-1.9
34,8.4,7.0
35,6.9,3.3
36,6.0,1.3
37,5.8,2.1
38,4.5,-1.4
39,7.0,0.8
40,4.6,2.9
41,4.5,3.1
42,4.4,1.4
43,4.3,-1.8
44,6.7,0.7
45,8.3,5.8
46,7.8,0.9
47,8.6,5.8
48,9.7,-0.6
49,7.2,-1.5
50,8.7,-2.3
51,7.0,-1.8
52,4.7,-3.4
53,2.7,-0.4
54,4.7,-0.9
55,5.5,-0.7
56,8.1,1.4
57,9.8,-1.5
58,8.4,-2.1
59,10.8,-2.2
60,9.0,-1.5
61,7.5,0.3
62,7.7,0.6
63,7.3,-0.9
64,9.9,-1.9
65,9.9,4.2
66,9.6,6.0
67,8.0,5.6
68,3.8,2.4
69,4.5,-2.0
70,1.5,-2.6
71,5.7,-1.1
72,6.1,-1.6
73,5.3,2.0
74,7.7,2.8
75,5.8,1.9
76,5.8,-0.2
77,5.1,1.0
78,5.6,1.9
79,5.5,1.8
80,6.1,1.3
81,2.0,0.8
82,1.6,0.7
83,4.1,1.4
84,4.3,0.6
85,3.9,-0.8
86,5.2,-1.4
87,5.7,-2.1
88,6.4,-0.5
89,6.1,-2.6
90,7.0,0.0
91,7.6,1.5
92,8.5,0.5
93,9.7,0.6
94,7.8,3.4
95,7.6,2.0
96,8.2,-0.4
97,9.9,5.1
98,8.9,2.4
99,8.7,2.2
100,9.4,6.0
101,9.2,5.2
102,11.7,5.9
103,14.5,8.4
104,12.3,9.1
105,12.1,8.7
106,11.7,7.1
107,11.5,9.1
108,11.3,6.5
109,11.0,4.3
110,11.8,7.0
111,9.4,5.9
112,11.3,7.9
113,12.5,9.1
114,11.6,7.9
115,10.5,6.7
116,9.9,2.9
117,11.1,5.1
118,10.3,5.9
119,11.3,6.7
120,11.6,4.7
121,12.0,4.6
122,13.6,9.5
123,12.4,9.2
124,11.5,7.5
125,12.1,9.7
126,13.4,7.1
127,21.7,15.6
128,16.1,9.0
129,10.6,8.4
130,12.2,7.8
131,11.2,6.7
132,11.1,8.2
133,10.7,5.9
134,10.7,5.4
135,11.9,7.1
136,13.3,7.2
137,15.6,9.6
138,11.9,8.7
139,15.0,10.8
140,17.1,11.9
141,16.4,10.3
142,13.9,8.1
143,10.6,6.1
144,12.9,6.4
145,14.1,7.7
146,15.8,9.1
147,11.2,8.7
148,13.5,9.9
149,16.5,12.4
150,17.8,12.3
151,16.1,11.4
152,14.3,9.7
153,13.9,9.6
154,17.2,11.8
155,20.5,13.9
156,20.0,14.2
157,19.5,13.6
158,20.6,14.3
159,19.4,13.1
160,19.1,12.7
161,15.6,11.6
162,16.9,12.6
163,16.8,12.3
164,16.1,11.4
165,15.9,11.1
166,14.1,10.3
167,16.4,11.0
168,20.3,14.8
169,20.7,13.0
170,17.3,12.8
171,20.7,14.5
172,18.3,13.4
173,15.6,11.6
174,15.4,12.1
175,15.9,10.7
176,16.9,12.0
177,18.0,12.8
178,14.0,11.3
179,15.4,11.9
180,15.0,12.8
181,15.4,12.7
182,15.4,11.9
183,14.4,12.1
184,16.8,13.9
185,17.8,13.9
186,17.5,13.1
187,18.2,13.2
188,21.7,15.6
189,24.6,17.7
190,23.9,19.0
191,23.3,16.6
192,22.8,16.5
193,23.7,16.9
194,24.1,15.0
195,17.9,13.5
196,19.1,14.2
197,22.5,16.5
198,24.1,15.9
199,25.6,18.8
200,28.7,19.4
201,25.0,17.9
