date,daily_flow_cumecs
1,14.100
2,10.400
3,8.330
4,6.650
5,5.650
6,4.860
7,7.380
8,12.400
9,10.500
10,8.050
11,6.290
12,4.990
13,4.200
14,3.880
15,3.280
16,2.750
17,2.690
18,2.250
19,1.760
20,1.740
21,1.790
22,1.590
23,1.460
24,1.530
25,3.980
26,10.500
27,19.100
28,17.900
29,14.900
30,12.500
31,9.920
32,7.570
33,6.090
34,5.680
35,5.620
36,5.820
37,5.050
38,4.420
39,3.960
40,3.750
41,3.630
42,3.110
43,2.770
44,6.810
45,8.250
46,6.950
47,5.600
48,4.470
49,3.670
50,3.140
51,2.780
52,2.320
53,2.040
54,1.880
55,1.750
56,1.630
57,1.500
58,1.400
59,1.330
60,1.240
61,1.180
62,1.130
63,1.080
64,1.020
65,1.080
66,1.100
67,1.020
68,1.080
69,1.040
70,0.893
71,0.852
72,0.814
73,0.977
74,3.380
75,2.700
76,2.720
77,2.670
78,2.490
79,2.130
80,2.140
81,2.380
82,1.840
83,1.430
84,1.280
85,1.160
86,1.160
87,1.160
88,1.120
89,1.100
90,1.120
91,1.030
92,0.928
93,0.922
94,0.856
95,0.835
96,0.827
97,0.874
98,0.978
99,0.824
100,0.878
101,0.928
102,0.870
103,1.230
104,6.140
105,6.050
106,6.070
107,11.200
108,15.100
109,11.600
110,7.870
111,7.610
112,6.600
113,5.880
114,6.340
115,7.280
116,6.090
117,5.170
118,4.940
119,4.300
120,3.670
121,3.150
122,2.800
123,3.010
124,3.210
125,3.010
126,2.660
127,2.510
128,2.420
129,2.850
130,3.360
131,5.210
132,5.960
133,5.910
134,4.950
135,4.190
136,3.610
137,3.270
138,9.530
139,6.350
140,5.330
141,4.320
142,3.540
143,3.070
144,2.740
145,2.410
146,2.280
147,4.320
148,5.980
149,5.260
150,4.340
151,3.510
152,2.930
153,2.550
154,2.270
155,2.040
156,1.830
157,1.660
158,1.530
159,1.410
160,1.330
161,1.280
162,1.300
163,1.310
164,1.340
165,1.660
166,1.800
167,1.870
168,1.840
169,1.670
170,1.470
171,1.430
172,1.460
173,1.610
174,1.690
175,1.720
176,1.640
177,1.440
178,1.460
179,3.250
180,2.880
181,2.540
182,2.130
183,2.150
184,2.420
185,2.520
186,2.380
187,2.130
188,1.860
189,1.670
190,1.510
191,1.360
192,1.220
193,1.130
194,1.030
195,0.921
196,0.851
197,0.904
198,0.908
199,0.870
200,0.822
201,0.840
202,0.852
203,0.818
204,0.997
205,0.981
206,1.080
207,0.919
208,1.270
209,3.510
210,5.850
211,5.240
212,6.980
213,10.300
214,8.720
215,6.320
216,8.840
217,36.900
218,16.600
219,10.000
220,7.060
221,5.590
222,4.360
223,3.730
224,3.430
225,2.860
226,3.050
227,7.430
228,11.900
229,21.500
230,19.100
231,11.400
232,7.640
233,6.150
234,4.860
235,3.920
236,3.210
237,2.680
238,2.270
239,1.930
240,1.640
241,1.430
242,1.350
243,1.140
244,1.060
245,1.030
246,1.020
247,0.944
248,0.779
249,1.850
250,2.700
251,4.160
252,4.660
253,3.890
254,3.960
255,4.080
256,3.970
257,3.550
258,14.100
259,17.600
260,18.500
261,13.300
262,10.000
263,7.490
264,5.780
265,4.600
266,3.810
267,3.250
268,2.810
269,2.370
270,2.080
271,1.890
272,1.680
273,1.490
274,1.380
275,1.300
276,1.790
277,3.090
278,2.850
279,2.960
280,4.530
281,5.620
282,4.950
283,3.910
284,3.210
285,2.670
286,2.300
287,2.030
288,1.890
289,2.080
290,1.910
291,2.070
292,2.490
293,4.700
294,10.600
295,28.500
296,23.700
297,15.400
298,11.700
299,13.000
300,17.700
301,14.600
302,11.400
303,14.100
304,13.500
305,9.840
306,10.700
307,13.300
308,11.000
309,9.320
310,7.400
311,6.090
312,5.460
313,7.060
314,5.470
315,5.080
316,4.360
317,5.160
318,5.270
319,4.730
320,4.180
321,6.360
322,9.810
323,8.860
324,8.860
325,7.150
326,5.840
327,4.800
328,4.000
329,3.390
330,2.960
331,2.660
332,2.400
333,2.360
334,2.120
335,1.960
336,1.840
337,1.800
338,1.780
339,1.780
340,1.780
341,2.310
342,3.660
343,4.050
344,3.810
345,3.290
346,3.460
347,4.920
348,14.100
349,15.300
350,15.000
351,11.100
352,14.900
353,14.800
354,24.600
355,34.000
356,22.600
357,35.100
358,33.000
359,17.600
360,12.600
361,10.700
362,8.040
363,10.300
364,38.100
365,27.200
366,22.300
367,19.300
368,14.400
369,11.000
370,10.900
371,11.900
372,10.600
373,8.560
374,7.470
375,8.670
376,8.370
377,7.290
378,8.210
379,8.870
380,15.300
381,14.500
382,11.300
383,9.480
384,8.640
385,7.060
386,7.810
387,9.110
388,10.900
389,9.070
390,8.310
391,13.000
392,13.900
393,13.500
394,11.100
395,8.500
396,9.120
397,14.500
398,12.900
399,9.440
400,8.730
401,10.100
402,9.900
403,9.640
404,16.500
405,16.900
406,12.200
407,8.980
408,12.900
409,11.900
410,13.800
411,17.100
412,13.400
413,10.600
414,11.900
415,11.400
416,14.900
417,14.100
418,13.300
419,24.500
420,32.400
421,21.200
422,18.300
423,17.500
424,13.100
425,11.200
426,12.000
427,11.200
428,8.820
429,6.910
430,17.300
431,34.600
432,19.100
433,10.800
434,7.560
435,5.630
436,4.410
437,3.600
438,3.020
439,2.570
440,2.240
441,2.020
442,2.390
443,2.560
444,5.580
445,6.670
446,6.720
447,5.910
448,5.030
449,4.320
450,3.660
451,3.260
452,2.910
453,2.550
454,2.070
455,2.000
456,2.080
457,1.920
458,1.730
459,1.910
460,3.190
461,12.100
462,12.600
463,9.380
464,7.260
465,5.720
466,4.640
467,3.660
468,3.080
469,2.630
470,2.290
471,2.060
472,1.680
473,1.540
474,1.430
475,1.330
476,1.210
477,1.150
478,1.120
479,1.020
480,1.060
481,1.050
482,0.926
483,0.882
484,0.840
485,0.930
486,1.070
487,0.897
488,0.867
489,0.853
490,0.855
491,1.010
492,1.250
493,1.610
494,2.320
495,3.870
496,4.360
497,4.180
498,3.430
499,2.810
500,2.380
501,2.040
502,1.820
503,1.410
504,1.480
505,1.530
506,1.360
507,1.200
508,1.110
509,1.000
510,0.998
511,1.010
512,0.910
513,0.937
514,0.974
515,0.825
516,0.750
517,0.774
518,0.733
519,0.654
520,0.947
521,0.982
522,0.944
523,0.960
524,0.878
525,0.893
526,1.060
527,0.915
528,0.832
529,0.754
530,0.740
531,0.734
532,0.702
533,0.681
534,0.657
535,0.634
536,0.764
537,0.760
538,0.731
539,0.699
540,0.631
541,0.585
542,0.552
543,0.621
544,0.634
545,0.614
546,0.576
547,0.562
548,0.554
549,0.565
550,2.110
551,4.470
552,4.490
553,3.450
554,2.560
555,1.940
556,1.510
557,1.210
558,1.170
559,1.030
560,1.120
561,1.030
562,1.670
563,2.330
564,2.090
565,1.810
566,1.510
567,1.250
568,1.070
569,0.984
570,0.800
571,0.682
572,0.687
573,0.663
574,0.621
575,0.612
576,0.651
577,0.780
578,0.713
579,0.931
580,2.050
581,2.780
582,2.770
583,2.940
584,2.340
585,2.230
586,2.050
587,5.040
588,7.060
589,7.610
590,8.330
591,7.230
592,5.570
593,4.770
594,8.360
595,8.020
596,6.170
597,4.720
598,4.190
599,3.490
600,2.920
601,2.520
602,2.370
603,1.670
604,1.630
605,1.960
606,4.200
607,3.470
608,3.050
609,2.650
610,2.290
611,2.040
612,3.540
613,1.300
614,1.130
615,1.100
616,1.090
617,1.050
618,1.020
619,0.996
620,0.978
621,0.964
622,0.924
623,0.892
624,0.882
625,0.841
626,0.833
627,0.804
628,0.780
629,0.748
630,0.736
631,0.838
632,0.948
633,0.998
634,0.965
635,0.936
636,0.912
637,0.894
638,0.895
639,0.916
640,0.892
641,11.900
642,23.600
643,14.400
644,19.600
645,14.000
646,14.300
647,20.000
648,19.500
649,14.200
650,9.650
651,6.890
652,5.150
653,4.200
654,3.580
655,4.320
656,6.870
657,6.070
658,10.100
659,15.800
660,11.800
661,8.480
662,6.570
663,5.510
664,5.180
665,5.880
666,15.400
667,14.400
668,10.200
669,8.200
670,11.100
671,15.000
672,25.600
673,21.100
674,14.400
675,13.300
676,16.200
677,14.900
678,12.600
679,9.610
680,7.700
681,6.800
682,5.910
683,7.020
684,6.420
685,5.540
686,4.920
687,4.060
688,3.350
689,2.830
690,2.670
691,2.550
692,2.550
693,2.330
694,2.120
695,1.970
696,1.830
697,1.680
698,1.560
699,1.470
700,1.420
701,1.370
702,1.290
703,1.220
704,1.180
705,3.540
706,5.250
707,5.130
708,10.700
709,12.100
710,8.900
711,6.500
712,5.190
713,8.120
714,8.420
715,8.130
716,9.700
717,13.400
718,12.000
719,9.390
720,8.600
721,16.600
722,31.400
723,23.200
724,13.600
725,9.560
726,6.990
727,5.380
728,4.390
729,3.730
730,4.850
731,15.400
732,15.700
733,11.200
734,7.790
735,6.320
736,7.630
737,31.100
738,28.200
739,22.900
740,23.800
741,17.500
742,15.200
743,11.600
744,17.400
745,18.700
746,13.500
747,10.600
748,7.880
749,6.070
750,4.840
751,3.960
752,3.350
753,6.730
754,6.950
755,7.360
756,7.840
757,8.250
758,12.900
759,10.800
760,7.970
761,6.070
762,4.700
763,3.830
764,3.160
765,2.690
766,2.370
767,2.140
768,1.940
769,1.770
770,1.750
771,1.690
772,1.600
773,1.610
774,1.590
775,1.540
776,1.760
777,2.340
778,2.350
779,4.620
780,8.380
781,7.150
782,5.630
783,8.920
784,8.750
785,8.370
786,10.700
787,21.600
788,14.500
789,15.800
790,13.900
791,10.100
792,7.130
793,5.420
794,4.420
795,4.110
796,5.530
797,8.240
798,8.140
799,6.790
800,7.690
801,18.100
802,17.800
803,11.300
804,7.860
805,5.850
806,4.540
807,3.660
808,3.020
809,2.570
810,2.210
811,2.020
812,1.790
813,1.610
814,1.630
815,1.560
816,1.520
817,3.750
818,4.910
819,9.280
820,10.700
821,8.580
822,6.610
823,5.610
824,4.530
825,3.730
826,3.160
827,2.680
828,2.360
829,2.100
830,2.030
831,2.030
832,4.330
833,3.370
834,2.900
835,2.700
836,2.390
837,2.130
838,1.840
839,1.650
840,1.510
841,1.380
842,1.290
843,1.200
844,1.320
845,1.160
846,1.080
847,1.260
848,1.600
849,2.380
850,2.530
851,2.340
852,2.320
853,2.760
854,2.640
855,4.610
856,8.920
857,7.530
858,8.890
859,9.220
860,10.900
861,16.300
862,11.700
863,8.150
864,5.820
865,4.800
866,4.030
867,4.280
868,7.500
869,6.860
870,5.530
871,4.470
872,3.700
873,3.180
874,2.820
875,2.430
876,2.110
877,2.500
878,3.050
879,3.180
880,2.810
881,2.940
882,13.200
883,13.000
884,8.510
885,5.930
886,4.780
887,3.540
888,2.810
889,2.430
890,2.130
891,1.880
892,1.680
893,1.500
894,1.380
895,1.270
896,1.150
897,1.210
898,1.130
899,1.030
900,0.980
901,1.030
902,0.932
903,1.000
904,0.916
905,0.919
906,0.906
907,0.877
908,0.906
909,1.480
910,1.720
911,1.550
912,1.390
913,1.200
914,1.070
915,1.160
916,0.878
917,1.020
918,1.490
919,2.390
920,2.400
921,2.070
922,2.390
923,3.560
924,3.550
925,2.970
926,2.360
927,2.120
928,2.120
929,2.370
930,5.780
931,4.650
932,3.810
933,3.170
934,2.650
935,2.220
936,1.900
937,1.860
938,2.250
939,3.500
940,2.890
941,2.420
942,3.070
943,3.250
944,2.930
945,2.580
946,2.500
947,2.370
948,3.190
949,2.840
950,2.580
951,2.300
952,2.310
953,2.010
954,1.800
955,1.730
956,3.280
957,3.050
958,2.610
959,2.300
960,2.130
961,2.020
962,2.050
963,2.640
964,3.210
965,4.160
966,3.810
967,3.420
968,3.690
969,3.980
970,4.450
971,3.750
972,3.170
973,2.930
974,2.690
975,2.320
976,1.960
977,1.720
978,1.530
979,1.380
980,1.270
981,1.200
982,1.170
983,1.090
984,1.030
985,1.150
986,1.130
987,1.130
988,1.130
989,1.070
990,1.450
991,1.900
992,1.760
993,1.740
994,2.960
995,2.830
996,2.500
997,2.240
998,2.070
999,1.900
1000,1.690
1001,1.520
1002,1.380
1003,1.290
1004,1.190
1005,1.120
1006,1.070
1007,1.070
1008,1.230
1009,1.070
1010,1.100
1011,1.110
1012,1.060
1013,1.030
1014,0.990
1015,0.928
1016,0.885
1017,0.851
1018,0.819
1019,0.793
1020,0.813
1021,0.874
1022,0.864
1023,1.200
1024,2.070
1025,1.810
1026,1.910
1027,4.240
1028,3.990
1029,3.130
1030,2.560
1031,2.820
1032,3.850
1033,3.770
1034,4.220
1035,3.960
1036,3.520
1037,3.170
1038,3.150
1039,3.360
1040,4.170
1041,9.230
1042,19.800
1043,31.500
1044,29.300
1045,46.400
1046,30.900
1047,18.600
1048,27.700
1049,75.100
1050,37.500
1051,19.600
1052,26.200
1053,18.700
