date,maximum_temp,minimum_temp
1,5.8,4.3
2,7.0,5.5
3,12.0,11.0
4,11.1,9.7
5,10.1,9.1
6,11.1,3.7
7,10.1,8.7
8,11.3,10.0
9,4.6,0.7
10,1.6,-0.9
11,1.3,-0.8
12,3.9,1.8
13,1.2,-2.7
14,2.2,0.3
15,1.5,-1.1
16,-0.2,-3.5
17,1.3,-0.7
18,2.0,1.1
19,1.3,0.0
20,1.2,0.4
21,1.8,0.5
22,1.0,-0.3
23,1.9,-0.9
24,1.6,-0.4
25,1.8,-0.2
26,4.2,1.0
27,10.2,4.8
28,5.9,3.9
29,9.8,7.7
30,9.2,5.8
31,8.5,4.8
32,7.1,5.5
33,3.8,-2.4
34,8.2,-2.0
35,9.8,4.8
36,3.5,0.6
37,5.0,1.2
38,2.5,-2.2
39,2.0,0.5
40,3.5,2.0
41,4.0,2.4
42,2.6,1.5
43,2.1,1.0
44,1.7,-0.1
45,6.7,3.3
46,6.9,4.6
47,5.2,1.0
48,6.8,4.5
49,5.8,0.8
50,0.7,-3.7
51,4.6,0.2
52,1.0,-1.6
53,1.1,-0.1
54,1.5,0.1
55,1.2,-1.8
56,4.2,0.0
57,4.4,-1.1
58,1.3,-5.5
59,-0.6,-4.8
60,7.3,4.9
61,0.5,-4.5
62,2.5,-1.6
63,5.7,1.1
64,4.6,-3.3
65,4.3,-0.9
66,8.0,6.8
67,6.1,4.9
68,5.6,2.9
69,3.0,1.8
70,-1.4,-3.5
71,-0.3,-4.1
72,2.8,-2.3
73,1.7,-5.5
74,5.4,3.8
75,4.0,1.0
76,1.1,-1.3
77,3.6,-0.2
78,1.9,0.5
79,3.4,2.1
80,2.0,-1.1
81,2.0,-0.5
82,0.8,-0.3
83,1.0,0.2
84,1.9,0.4
85,0.9,-0.7
86,1.6,-1.0
87,1.0,-1.5
88,2.5,-3.9
89,1.4,-4.9
90,2.8,-5.4
91,3.3,0.6
92,4.2,-0.5
93,4.6,-4.3
94,4.8,-2.4
95,4.2,2.5
96,4.6,-4.7
97,3.6,-3.3
98,4.6,3.0
99,9.9,8.3
100,10.6,6.7
101,8.3,2.0
102,8.9,7.6
103,8.6,7.1
104,10.3,6.5
105,10.8,2.6
106,10.1,4.2
107,11.5,8.9
108,8.9,0.0
109,11.6,0.1
110,8.4,1.5
111,15.1,9.4
112,12.6,8.3
113,12.3,10.1
114,12.2,6.2
115,4.4,1.2
116,7.5,4.5
117,6.5,1.0
118,7.2,2.8
119,6.9,5.1
120,9.3,3.6
121,11.2,0.9
122,10.7,-0.7
123,11.1,9.3
124,10.8,5.9
125,12.7,10.1
126,10.9,9.4
127,15.9,3.8
128,16.4,12.0
129,9.8,8.0
130,9.8,7.5
131,8.5,6.8
132,9.9,7.0
