date,daily_flow_cumecs
1,5.773
2,2.744
3,1.546
4,0.871
5,0.515
6,0.381
7,0.538
8,0.700
9,0.559
10,0.304
11,0.820
12,0.854
13,0.859
14,1.271
15,1.312
16,1.430
17,1.454
18,1.576
19,1.581
20,1.575
21,1.323
22,1.286
23,0.749
24,0.664
25,0.666
26,0.833
27,0.904
28,0.913
29,2.182
30,3.884
31,3.215
32,1.606
33,0.813
34,0.513
35,0.759
36,0.437
37,0.286
38,0.219
39,0.532
40,0.663
41,0.678
42,0.986
43,1.018
44,1.401
45,1.368
46,1.362
47,1.351
48,1.339
49,1.457
50,1.461
51,1.457
52,1.454
53,1.446
54,1.440
55,1.434
56,1.302
57,1.285
58,1.061
59,0.905
60,0.696
61,0.667
62,0.667
63,0.202
64,0.180
65,0.180
66,0.180
67,0.179
68,0.181
69,0.190
70,0.190
71,0.183
72,0.188
73,0.187
74,0.194
75,0.194
76,0.201
77,0.194
78,0.198
79,0.197
80,0.200
81,0.195
82,0.193
83,0.277
84,0.275
85,0.274
86,0.261
87,0.259
88,0.259
89,0.257
90,0.256
91,0.254
92,0.253
93,0.252
94,0.251
95,0.251
96,0.250
97,0.250
98,0.248
99,0.247
100,0.245
101,0.245
102,0.246
103,0.256
104,0.312
105,0.316
106,0.309
107,0.460
108,0.485
109,0.376
110,0.333
111,0.335
112,0.311
113,0.303
114,0.302
115,0.312
116,0.304
117,0.298
118,0.295
119,0.288
120,0.283
121,0.278
122,0.274
123,0.280
124,0.277
125,0.274
126,0.272
127,0.269
128,0.275
129,0.320
130,0.312
131,0.328
132,0.318
133,0.309
134,0.299
135,0.293
136,0.286
137,0.284
138,0.341
139,0.315
140,0.318
141,0.306
142,0.298
143,0.292
144,0.287
145,0.282
146,0.276
147,0.322
148,0.312
149,0.304
150,0.299
151,0.292
152,0.286
153,0.283
154,0.278
155,0.275
156,0.272
157,0.268
158,0.267
159,0.264
160,0.261
161,0.259
162,0.259
163,0.259
164,0.257
165,0.264
166,0.261
167,0.258
168,0.257
169,0.256
170,0.255
171,0.255
172,0.208
173,0.207
174,0.206
175,0.208
176,0.210
177,0.200
178,0.200
179,0.197
180,0.199
181,0.202
182,0.198
183,0.193
184,0.195
185,0.192
186,0.193
187,0.195
188,0.195
189,0.196
190,0.199
191,0.202
192,0.204
193,0.203
194,0.204
195,0.205
196,0.203
197,0.202
198,0.203
199,0.201
200,0.200
201,0.203
202,0.204
203,0.199
204,0.200
205,0.198
206,0.197
207,0.200
208,0.217
209,0.218
210,0.205
211,0.194
212,0.294
213,0.299
214,0.229
215,0.235
216,0.237
217,0.263
218,0.225
219,0.198
220,0.194
221,0.195
222,0.193
223,0.195
224,0.191
225,0.191
226,0.192
227,0.215
228,0.196
229,0.257
230,0.225
231,0.197
232,0.194
233,0.194
234,0.192
235,0.194
236,0.195
237,0.194
238,0.193
239,0.196
240,0.194
241,0.194
242,0.194
243,0.192
244,0.192
245,0.190
246,0.191
247,0.196
248,0.210
249,0.228
250,0.224
251,0.227
252,0.227
253,0.224
254,0.227
255,0.225
256,0.225
257,0.223
258,0.306
259,0.351
260,0.349
261,0.312
262,0.289
263,0.271
264,0.259
265,0.251
266,0.246
267,0.241
268,0.195
269,0.191
270,0.194
271,0.194
272,0.192
273,0.195
274,0.193
275,0.192
276,0.194
277,0.196
278,0.193
279,0.192
280,0.195
281,0.192
282,0.192
283,0.193
284,0.192
285,0.190
286,0.196
287,0.192
288,0.191
289,0.196
290,0.194
291,0.193
292,0.195
293,0.227
294,0.376
295,0.517
296,0.392
297,0.274
298,1.198
299,1.405
300,1.544
301,1.511
302,1.659
303,1.700
304,1.660
305,1.619
306,1.687
307,1.710
308,1.677
309,1.657
310,1.645
311,1.635
312,1.613
313,1.627
314,1.611
315,1.735
316,1.723
317,1.722
318,1.711
319,1.708
320,1.701
321,1.698
322,1.697
323,1.702
324,1.705
325,1.704
326,1.696
327,1.684
328,1.668
329,0.973
330,0.250
331,0.191
332,0.193
333,0.195
334,0.193
335,0.192
336,0.194
337,0.195
338,0.197
339,0.196
340,0.195
341,0.195
342,0.198
343,0.196
344,0.197
345,0.196
346,0.199
347,0.197
348,0.462
349,0.387
350,0.353
351,0.267
352,0.510
353,1.439
354,1.772
355,1.698
356,1.575
357,2.108
358,1.881
359,1.557
360,1.962
361,2.398
362,1.098
363,2.064
364,15.510
365,8.818
366,9.858
367,8.237
368,6.285
369,5.010
370,6.578
371,9.750
372,6.297
373,4.879
374,3.650
375,3.167
376,2.582
377,1.678
378,1.740
379,2.088
380,6.102
381,4.525
382,3.371
383,3.233
384,3.551
385,2.052
386,2.998
387,4.822
388,4.258
389,2.896
390,2.967
391,4.836
392,5.864
393,6.023
394,3.905
395,1.876
396,1.862
397,5.529
398,7.039
399,4.218
400,3.131
401,5.068
402,5.621
403,3.838
404,10.060
405,9.347
406,4.356
407,2.295
408,4.404
409,5.120
410,6.848
411,9.992
412,4.682
413,4.596
414,6.440
415,5.291
416,7.914
417,6.020
418,6.518
419,15.930
420,14.880
421,8.115
422,6.726
423,6.800
424,3.540
425,2.291
426,4.316
427,3.660
428,1.721
429,1.117
430,4.072
431,11.850
432,4.450
433,1.860
434,0.816
435,0.282
436,1.236
437,1.534
438,1.646
439,1.638
440,1.634
441,1.629
442,1.628
443,1.651
444,1.677
445,1.661
446,1.663
447,1.654
448,1.652
449,1.644
450,1.626
451,1.628
452,1.622
453,1.609
454,1.604
455,0.451
