date,maximum_temp,minimum_temp
1,6.9,5.0
2,11.8,7.0
3,11.9,10.2
4,10.2,8.6
5,11.4,9.6
6,10.3,7.9
7,10.4,9.4
8,11.3,4.1
9,6.2,0.0
10,2.0,0.0
11,6.0,0.4
12,4.7,1.2
13,2.0,-0.5
14,5.3,0.3
15,3.1,-1.5
16,1.1,-0.5
17,2.7,1.1
18,1.7,-0.5
19,1.8,0.6
20,1.8,1.1
21,1.9,-0.4
22,2.8,-1.2
23,2.2,0.3
24,3.7,-0.1
25,1.9,-0.4
26,7.1,3.7
27,6.1,4.8
28,9.7,4.3
29,12.2,7.8
30,7.8,5.7
31,8.0,6.5
32,7.1,3.3
33,5.0,-1.6
34,9.7,8.0
35,6.0,3.5
36,5.5,1.2
37,5.3,1.5
38,4.5,-1.2
39,6.8,1.6
40,4.0,2.4
41,3.4,2.5
42,4.3,1.6
43,4.0,0.5
44,4.8,-0.5
45,8.3,6.3
46,9.3,1.7
47,7.6,5.2
48,9.1,4.3
49,8.3,0.7
50,10.4,-0.9
51,5.9,0.2
52,4.4,0.5
53,2.3,0.7
54,4.8,-0.2
55,5.3,0.2
56,8.0,3.8
57,8.2,1.1
58,10.6,-1.3
59,13.0,-0.7
60,9.1,-0.5
61,8.6,-0.1
62,9.5,2.5
63,7.9,0.7
64,12.0,1.5
65,8.3,4.3
66,10.6,5.8
67,6.5,5.3
68,3.7,2.5
69,3.4,-1.6
70,1.7,-2.5
71,5.6,-0.7
72,6.2,-0.2
73,4.9,1.3
74,8.3,1.0
75,6.7,0.3
76,6.0,0.9
77,5.7,1.1
78,5.2,1.7
79,3.9,1.7
80,4.6,1.1
81,1.3,-0.5
82,0.9,0.2
83,2.7,0.9
84,3.0,0.4
85,3.8,0.2
86,4.4,0.3
87,5.4,-0.6
88,5.9,0.4
89,5.2,-1.8
90,5.0,1.3
91,6.2,0.6
92,7.2,1.1
93,9.3,2.2
94,7.0,3.4
95,6.8,3.1
96,9.9,0.3
97,10.9,3.4
98,6.7,2.4
99,12.6,9.7
100,13.1,7.6
101,11.6,7.8
102,12.3,8.1
103,11.9,8.0
104,14.4,6.1
105,15.1,7.3
106,13.5,9.4
107,11.0,6.6
108,13.5,5.4
109,14.5,5.8
110,15.5,8.2
111,19.3,11.7
112,12.7,10.5
113,14.4,9.9
114,15.9,10.4
115,11.5,5.8
116,9.0,2.0
117,11.3,5.2
118,10.2,5.3
119,11.8,6.3
120,13.6,3.2
121,13.0,5.2
122,15.0,9.7
123,13.1,9.7
124,12.4,7.1
125,12.9,10.7
126,16.8,8.5
127,22.1,15.2
128,14.2,9.7
129,9.4,8.1
130,12.8,8.3
131,10.7,6.1
132,11.8,8.5
133,10.3,5.4
134,11.7,5.9
135,12.4,7.0
136,13.0,7.7
137,15.5,10.1
138,12.2,8.3
139,14.6,11.2
140,16.5,12.8
141,16.8,11.1
142,14.1,7.8
143,9.9,4.0
144,12.2,7.2
145,15.4,8.0
146,17.5,10.2
147,10.5,8.3
148,12.7,10.2
149,16.7,12.1
150,18.1,12.8
151,19.3,11.1
152,15.7,9.7
153,16.5,10.1
154,18.3,12.7
155,21.8,15.2
156,21.0,14.3
157,22.1,14.1
158,23.2,16.0
159,22.1,13.5
160,21.0,15.3
161,17.9,13.1
162,16.6,11.7
163,16.2,12.7
164,16.3,11.6
165,16.9,11.2
166,14.9,10.2
167,17.1,11.3
168,20.2,14.2
169,22.9,15.1
170,19.1,13.2
171,21.9,14.5
172,19.2,14.2
173,15.8,11.2
174,14.3,11.5
175,15.0,11.5
176,17.7,13.5
177,18.5,12.7
178,13.7,12.2
179,15.4,11.9
180,15.6,12.8
181,16.9,12.1
182,16.5,11.8
183,14.6,12.3
184,17.9,13.6
185,18.5,14.6
186,20.9,14.5
187,22.2,14.5
188,23.7,17.0
189,27.1,19.1
190,27.1,20.6
191,22.9,17.3
192,25.6,16.9
